min_age,max_age,sex,count
0,4,M,192679
0,4,F,183222
0,4,P,375900
5,14,M,407989
5,14,F,385564
5,14,P,793556
15,19,M,186517
15,19,F,176690
15,19,P,363201
20,24,M,210533
20,24,F,199803
20,24,P,410337
25,34,M,483005
25,34,F,492492
25,34,P,975493
35,44,M,452707
35,44,F,466025
35,44,P,918738
45,54,M,402329
45,54,F,424557
45,54,P,826885
55,64,M,361238
55,64,F,385315
55,64,P,746547
65,74,M,289036
65,74,F,316522
65,74,P,605557
75,84,M,159926
75,84,F,184873
75,84,P,344801
85,110,M,55017
85,110,F,87455
85,110,P,142475
